domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5226244343891403,752,0.3402714932126697,0.7127962085308057,1055,0.048213689122349024
social-relations,1548,0.5077519379844961,479,0.3094315245478036,0.6286089238845144,762,0.2574511803686619
physical-relations,818,0.5207823960880196,259,0.31662591687041564,0.6607142857142857,392,0.2748196288011968
material-dynamics,770,0.4675324675324675,235,0.3051948051948052,0.573170731707317,410,-0.1329669952392578
physical-interactions,556,0.460431654676259,213,0.3830935251798561,0.71,300,-0.0894753709435463
spatial-relations,490,0.44081632653061226,207,0.42244897959183675,0.7554744525547445,274,-0.22560488060116768
social-properties,328,0.4725609756097561,110,0.3353658536585366,0.6358381502890174,173,-0.24712616205215454
social-interactions,294,0.5,107,0.36394557823129253,0.7278911564625851,147,-0.31795861199498177
quantitative-properties,314,0.5445859872611465,83,0.2643312101910828,0.5804195804195804,143,0.27604982256889343
material-properties,170,0.5294117647058824,43,0.2529411764705882,0.5375,80,0.2743673473596573
physical-dynamics,120,0.5583333333333333,27,0.225,0.5094339622641509,53,0.5860982108861208
