domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5221719457013575,749,0.3389140271493213,0.709280303030303,1056,0.00866643525660038
social-relations,1548,0.5135658914728682,513,0.3313953488372093,0.6812749003984063,753,0.08588532358407974
physical-relations,818,0.519559902200489,279,0.3410757946210269,0.7099236641221374,393,0.20860494300723076
material-dynamics,770,0.4688311688311688,240,0.3116883116883117,0.58679706601467,409,-0.042466530576348305
physical-interactions,556,0.4658273381294964,220,0.39568345323741005,0.7407407407407407,297,-0.204034662572667
spatial-relations,490,0.4714285714285714,206,0.4204081632653061,0.7953667953667953,259,-0.06886301934719086
social-interactions,294,0.4931972789115646,107,0.36394557823129253,0.7181208053691275,149,-0.4648151397705078
social-properties,328,0.5152439024390244,93,0.28353658536585363,0.5849056603773585,159,0.059108929708600044
quantitative-properties,314,0.5668789808917197,82,0.2611464968152866,0.6029411764705882,136,0.3629167392500676
material-properties,170,0.5705882352941176,40,0.23529411764705882,0.547945205479452,73,0.300015103071928
physical-dynamics,120,0.5,35,0.2916666666666667,0.5833333333333334,60,0.44184654764831066
