token_id,token,surface_repr,direct_count40,component_n16,component_min_count16,component_geo_count16,component_sum_count16,component_tokens16,component_counts16
37073,hower,'hower',0,2,9646,11749.619227872894,23958,Ġhow er,14312 9646
13653,onsin,'onsin',0,3,8924,23865.99434739204,100121,Ġon s in,69177 22020 8924
38382,byes,'byes',0,2,6273,13024.620493511526,33316,Ġby es,27043 6273
38779,itei,'itei',0,3,5818,17827.787735233367,134501,Ġit e i,120608 5818 8075
37245,ĠBisan,'Bisan',0,3,5008,6296.227176781867,19374,ĠB is an,8508 5008 5858
37401,ptus,'ptus',0,3,4648,4955.533542050289,14904,Ġp t us,4648 5466 4790
25110,.pgd,'.pgd',0,4,3851,4354.608887198256,17557,Ġ. p g d,3863 5145 4698 3851
38464,itrea,'itrea',0,3,3704,16311.042937657774,134026,Ġit re a,120608 3704 9714
32598,.ht,'.ht',0,3,3665,4261.437318892718,12994,Ġ. h t,3863 3665 5466
17829,ieson,'ieson',0,3,3647,12749.37387959547,96951,Ġ ies on,86754 3647 6550
4056,ffie,'ffie',0,3,3201,3798.893287361239,11478,Ġf f ie,3201 4142 4135
19367,Ġceram,'ceram',0,3,3169,4597.481689412632,15994,Ġc er am,3179 9646 3169
16611,penter,'penter',0,3,3109,5184.951515686667,17403,Ġp ent er,4648 3109 9646
32907,Ġunsto,'unsto',0,3,2989,4628.369515789198,15559,Ġun st o,2989 3769 8801
25269,istion,'istion',0,3,2938,11413.959265135014,100999,Ġis t ion,92595 5466 2938
18822,Ġhards,'hards',0,2,2930,8032.347104053704,24950,Ġhard s,2930 22020
39319,carra,'carra',0,2,2802,3389.0113602642286,6901,Ġcar ra,4099 2802
32823,ppable,'ppable',0,3,2754,4038.3610530074257,12547,Ġp p able,4648 5145 2754
19261,ĠGodd,'Godd',0,2,2661,3201.173378622285,6512,ĠGod d,2661 3851
32727,icter,'icter',0,3,2589,11052.3873090844,95354,Ġ ic ter,86754 6011 2589
34827,ilings,'ilings',0,3,2566,9042.149402938288,92641,Ġ il ings,86754 3321 2566
39611,alonga,'alonga',0,2,2473,4901.297991348821,12187,Ġalong a,2473 9714
33929,onsol,'onsol',0,3,2321,15234.14411518158,93518,Ġon s ol,69177 22020 2321
35118,restling,'restling',0,2,2202,2295.0346402614477,4594,Ġrest ling,2202 2392
22343,namon,'namon',0,3,2190,3568.9123710146378,11909,Ġn am on,2190 3169 6550
32877,ortment,'ortment',0,3,2176,6332.800490257992,28995,Ġor t ment,21353 5466 2176
19231,ĠKness,'Kness',0,2,2133,3486.234931842662,7831,ĠK ness,5698 2133
10118,rary,'rary',0,2,2094,2427.8817928391827,4909,Ġr ary,2815 2094
29134,anyahu,'anyahu',0,3,1984,4509.425471558939,16397,Ġany ah u,9597 1984 4816
35052,ĠZyk,'Zyk',0,3,1978,4359.6282459105005,16110,ĠZ y k,1978 9901 4231
37069,feller,'feller',0,2,1902,4283.303865008882,11548,Ġfell er,1902 9646
21629,Ġsentin,'sentin',0,2,1861,4075.2379071656633,10785,Ġsent in,1861 8924
19036,ĠIsab,'Isab',0,2,1852,2272.713796323683,4641,ĠIs ab,2789 1852
33658,onous,'onous',0,2,1835,11266.75618800727,71012,Ġon ous,69177 1835
30332,anse,'anse',0,2,1800,6436.241139050032,24814,Ġan se,23014 1800
26685,arese,'arese',0,2,1800,8375.750712622726,40774,Ġare se,38974 1800
28264,ĠAUG,'AUG',0,3,1757,3812.5126823320893,17089,ĠA U G,12884 1757 2448
35755,FK,'FK',0,2,1749,3162.67782108769,7468,ĠF K,5719 1749
21169,iage,'iage',0,2,1672,1863.9785406490075,3750,Ġi age,2078 1672
21257,achne,'achne',0,3,1653,9703.28644867266,203032,Ġa ch ne,198596 2783 1653
39030,sonne,'sonne',0,2,1653,1980.1302987429897,4025,Ġson ne,2372 1653
37175,usanne,'usanne',0,3,1653,4422.059277052402,16441,Ġus an ne,8930 5858 1653
19944,lando,'lando',0,2,1642,3801.4789227352035,10443,Ġland o,1642 8801
25675,ĠNure,'Nure',0,2,1634,2652.546700814145,5940,ĠN ure,4306 1634
33615,nics,'nics',0,2,1632,1890.5237369575655,3822,Ġn ics,2190 1632
29615,othered,'othered',0,3,1602,2217.608491129104,6941,Ġo the red,3234 2105 1602
25356,Ġsunbe,'sunbe',0,2,1549,1636.0537888468082,3277,Ġsun be,1728 1549
38988,Ã©nez,'énez',0,4,1470,5314.44242053069,93661,Ġ Ã© ne z,86754 1470 1653 3784
31840,Ġtherape,'therape',0,3,1444,11891.346460000408,419829,Ġthe ra pe,415583 2802 1444
38513,ickered,'ickered',0,4,1386,5833.3158795879035,95753,Ġ ic ke red,86754 6011 1386 1602
37079,ktyv,'ktyv',0,3,1337,1815.588190545587,5973,Ġk ty v,1337 1371 3265
18259,gnacio,'gnacio',0,4,1325,2635.9257418791112,12094,Ġg n ac io,2500 5722 2547 1325
37901,alupe,'alupe',0,3,1319,2093.3065017003405,7579,Ġal u pe,1319 4816 1444
11851,yrics,'yrics',0,3,1319,2132.1723100047357,7454,Ġy r ics,1319 4503 1632
28312,ĠYelts,'Yelts',0,3,1279,2159.661140258266,7120,ĠY el ts,2112 3729 1279
16957,ĠWats,'Wats',0,2,1268,2247.8834489359087,5253,ĠW ats,3985 1268
26073,hae,'hae',0,2,1221,2665.2913536797428,7039,Ġha e,1221 5818
21304,ensei,'ensei',0,3,1206,2597.6907503831776,11081,Ġen se i,1206 1800 8075
21250,Ġdisobed,'disobed',0,3,1171,3869.848100655476,19220,Ġdis ob ed,3372 1171 14677
38485,Ġpina,'pina',0,2,1168,2329.9922746653056,5816,Ġp ina,4648 1168
33968,grÃ©,'gré',0,2,1166,1309.205866164676,2636,Ġgr Ã©,1166 1470
35890,omintang,'omintang',0,4,1165,3544.8018412099486,17468,Ġo m int ang,3234 5645 7424 1165
28892,orice,'orice',0,2,1157,4970.454808163937,22510,Ġor ice,21353 1157
20386,ĠCice,'Cice',0,2,1157,2953.800433340073,8698,ĠC ice,7541 1157
22921,ĠAroost,'Aroost',0,3,1154,1919.4825243887417,6549,ĠAr oo st,1154 1626 3769
23203,ilib,'ilib',0,3,1099,6815.829094371357,91174,Ġ il ib,86754 3321 1099
25724,Ġafterno,'afterno',0,2,1059,3086.374086205367,10054,Ġafter no,8995 1059
28864,wau,'wau',0,2,1043,1663.1404029726425,3695,Ġw au,2652 1043
36129,Ġamph,'amph',0,2,1024,2520.292046569208,7227,Ġam ph,6203 1024
25702,resne,'resne',0,2,1021,1299.1200868280034,2674,Ġres ne,1021 1653
17005,Ġsubur,'subur',0,2,1021,1687.171597674641,3809,Ġsub ur,1021 2788
21207,Ġseash,'seash',0,2,994,1112.4432569798787,2239,Ġse ash,994 1245
26541,mler,'mler',0,2,967,1922.717087873305,4790,Ġm ler,3823 967
11709,umberland,'umberland',0,3,964,1995.7063562412152,8157,Ġum ber land,5762 964 1431
17585,arthy,'arthy',0,3,953,3428.7387979049536,15126,Ġar th y,953 4272 9901
17358,Ġcryst,'cryst',0,2,950,1892.2341292768183,4719,Ġcry st,950 3769
32814,rale,'rale',0,2,949,2025.7038283026454,5273,Ġra le,949 4324
21804,raulic,'raulic',0,3,949,2284.8392872010613,9051,Ġra ul ic,949 2091 6011
16962,ilight,'ilight',0,3,931,6449.153118014634,91006,Ġ il ight,86754 3321 931
37542,ĠClov,'Clov',0,2,911,953.9858489516504,1910,ĠCl ov,911 999
12712,pread,'pread',0,2,896,1710.3917679876736,4161,Ġpre ad,896 3265
24326,ĠAches,'Aches',0,2,850,3309.289954053588,13734,ĠA ches,12884 850
37417,ĠViss,'Viss',0,2,849,1808.1755998796136,4700,ĠV iss,3851 849
31985,ainab,'ainab',0,2,841,1248.0112178983015,2693,Ġain ab,841 1852
39167,GHBOR,'GHBOR',0,4,837,2630.786559764313,13047,ĠG H B OR,6055 2938 3217 837
21524,ĠSOR,'SOR',0,2,837,2545.59501885119,8579,ĠS OR,7742 837
10751,mble,'mble',0,2,828,1779.1694691625075,4651,Ġm ble,3823 828
129,À,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
130,Á,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
137,È,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
141,Ì,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
142,Í,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
145,Ð,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
146,Ñ,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
147,Ò,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
148,Ó,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
149,Ô,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
150,Õ,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
151,Ö,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
153,Ø,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
