experiment_group,stage,method,result,report_section
compact_budget,I,methods/compact_views.md,results/compact_budget.csv,reports/zh/chapters/03_frontier.tex
late_consolidation,I,methods/residual_learning.md,results/late_consolidation_controls.csv,reports/zh/chapters/03_frontier.tex
residual_scale,I,methods/residual_learning.md,results/private_scale_sweep.csv,reports/zh/chapters/03_frontier.tex
relation_specificity,II,methods/relation_learning.md,results/relation_context_use.csv,reports/zh/chapters/04_principles.tex
functional_access,II,methods/functional_access.md,results/interface_reach.csv,reports/zh/chapters/04_principles.tex
source_disjoint_loss,II,methods/relation_learning.md,results/source_disjoint_target_loss.csv,reports/zh/chapters/04_principles.tex
target_deletion,II,methods/relation_learning.md,results/target_deletion_100m.csv,reports/zh/chapters/04_principles.tex
training_strategy,III,methods/principle_guided_training.md,results/training_strategy_comparison.csv,reports/zh/chapters/05_guided_improvement.tex
preservation_conditions,III,methods/principle_guided_training.md,results/state_preservation_readouts.csv,reports/zh/chapters/05_guided_improvement.tex
preservation_strength,III,methods/principle_guided_training.md,results/preservation_gradient_diagnostic.csv,reports/zh/chapters/05_guided_improvement.tex
