model,display_label,model_url,Overall,NLP,HumanLike,BLiMP,Supplement,EWoK,Entity,COMPS,SuperGLUE,GlobalPIQA,Reading,AoA
Qiushi-Engine-Principle-Guided-Frontier-Advancement,Qiushi-Engine-Principle-Guided-Frontier-Advancement,https://huggingface.co/leslie721007/Qiushi-Engine-Principle-Guided-Frontier-Advancement,42.25,53.15,4.1,68.27,63.28,49.82,29.4,52.16,69.05,40.05,8.2,0.0
Qiushi-Engine-Frontier-Advancement,Qiushi-Engine-Frontier-Advancement,https://huggingface.co/leslie721007/Qiushi-Engine-Frontier-Advancement,42.02,52.86,4.08,68.52,63.64,50.02,28.32,52.05,68.95,38.56,8.17,0.0
wwm_curriculum_simplification_40k,go76dof / WWM curriculum,https://huggingface.co/go76dof/wwm_curriculum_simplification_40k,41.8,52.97,2.71,67.2,56.01,56.07,28.45,53.57,69.79,39.67,5.42,0.0
RecGPT-10M,Serdar404 / RecGPT-10M,https://huggingface.co/Serdar404/RecGPT-10M,41.53,52.4,3.46,73.11,61.73,52.62,16.59,55.43,66.64,40.68,6.92,0.0
Wordpiece-24-4,Wector1 / Wordpiece-24-4,https://huggingface.co/Wector1/Wordpiece-24-4,41.31,52.85,0.92,70.2,66.52,52.1,21.82,54.04,69.18,36.08,1.84,0.0
bb26_claim_compagg_v22_v15_relay_synp050_synkeep010,gyaudhw / compagg relay,https://huggingface.co/gyaudhw/bb26_claim_compagg_v22_v15_relay_synp050_synkeep010,40.94,51.81,2.92,67.85,65.21,53.0,21.47,52.24,65.29,37.59,5.84,0.0
bb26_claim_compagg_v22_v15_relay_synp050_synkeep010_s0,gyaudhw / compagg relay (s0),https://huggingface.co/gyaudhw/bb26_claim_compagg_v22_v15_relay_synp050_synkeep010_s0,40.93,51.79,2.92,67.85,65.21,53.0,19.9,52.24,65.66,38.65,5.84,0.0
BabySteps_MurphysLaw-10M-mixed,svsatheesh / BabySteps,https://huggingface.co/svsatheesh/BabySteps_MurphysLaw-10M-mixed,40.86,53.59,-3.72,71.6,63.93,51.94,27.95,53.13,70.44,36.15,7.67,-15.1
instanton-hybrid,qyxu1994 / instanton-hybrid,https://huggingface.co/qyxu1994/instanton-hybrid,40.78,51.53,3.18,72.13,60.86,50.15,19.87,52.96,67.58,37.14,6.35,0.0
bb26_claim_agg_synonly_s0,gyaudhw / synonly (s0),https://huggingface.co/gyaudhw/bb26_claim_agg_synonly_s0,40.67,51.46,2.91,67.13,62.3,52.28,19.17,52.22,66.99,40.11,5.82,0.0
